País,Categoría,Nombre,Og_Resumida
Argentina,Convocatoria,OPEN CALL | R.A.R.O. Buenos Aires September / December 2025,"La oportunidad OPEN CALL | R.A.R.O. Buenos Aires September / December 2025 está dirigida a artistas, curadores, gestores e investigadores de todas las disciplinas artísticas, tanto emergentes como establecidos, de cualquier nacionalidad, incluyendo artistas de Latinoamérica. El programa ofrece residencias itinerantes en Buenos Aires, permitiendo a los seleccionados trabajar en uno o más talleres locales y colaborar con artistas de la ciudad. La convocatoria requiere el pago de un arancel cuya cantidad exacta se determina según la duración y el tipo de residencia elegida; para conocer el monto final, los postulantes deben completar el proceso de postulación. No se especifica un monto de apoyo económico o beca garantizado para los seleccionados, aunque se informa que periódicamente se otorgan becas parciales y que el equipo puede facilitar cartas de invitación para postular a fondos externos. No se menciona un pago de inscripción aparte del arancel de la residencia."
EEUU,Convocatoria,Vermont Studio Center Open Call,"Vermont Studio Center Open Call está dirigida a artistas visuales y escritores de cualquier nacionalidad, incluyendo postulantes de Latinoamérica, quienes pueden aplicar a residencias de 2, 3 o 4 semanas para desarrollar su práctica en un entorno interdisciplinario. Las disciplinas involucradas abarcan pintura, escultura, medios, instalación, fotografía, video y escritura. Gracias al apoyo de donantes y fundaciones, el programa garantiza becas totales o parciales para todos los seleccionados, cubriendo alojamiento, estudio propio y tres comidas diarias, aunque no se especifica un monto de dinero entregado directamente al artista; la beca consiste en la cobertura de estos gastos. Para ser considerado, es necesario presentar portafolio o manuscrito y, aunque no se menciona explícitamente un pago obligatorio de inscripción en la información disponible, históricamente la postulación a través de la plataforma SlideRoom puede involucrar un pequeño cargo administrativo. Las postulaciones y becas se otorgan por mérito artístico evaluado por un jurado rotativo y la convocatoria está abierta internacionalmente en tres plazos anuales."
Italia,Convocatoria,"Open Call 2026 – Sardinia Island, Italy","La convocatoria Open Call 2026 – Sardinia Island, Italy está dirigida a artistas visuales, diseñadores, escritores, fotógrafos, compositores, artistas multimedia, videomakers, arquitectos, ilustradores y profesionales creativos de cualquier nacionalidad, incluyendo latinoamericanos. La residencia, ubicada en el pueblo rural de Milis, Cerdeña, promueve la investigación artística autodirigida, la colaboración con otros residentes y la integración con la comunidad local. Nocefresca ofrece apoyo curatorial, oportunidades para presentar proyectos y actividades públicas, pero la residencia es principalmente autogestionada y no se menciona un estipendio económico específico para los artistas seleccionados ni un presupuesto de producción; los artistas deben cubrir sus propios gastos salvo que se anuncien fondos o becas adicionales, los cuales se comunican oportunamente en el sitio web. Para esta edición, no se especifica un pago de inscripción obligatorio para participar, pero se recomienda revisar periódicamente la página oficial ante posibles actualizaciones sobre financiación o costos."
Tailandia,Residencia,"Printmaking Residency in Chiang Mai, Thailand","La Printmaking Residency in Chiang Mai, Thailand está dirigida a artistas de cualquier nacionalidad interesados en la gráfica, especialmente en técnicas como litografía, grabado en relieve, punta seca y monotipo, quienes pueden trabajar junto a un maestro impresor durante la residencia; el programa tiene un costo de 50,000 baht tailandeses por semana (aproximadamente 1,350 USD), con descuentos para estadías de tres semanas o más, e incluye alojamiento en un estudio-apartamento y materiales básicos, pero no otorga beca ni estipendio a los artistas seleccionados; no se menciona restricción geográfica, por lo que pueden postular artistas de Latinoamérica, y es necesario pagar el monto indicado para participar."
Chile,Convocatoria,Fondo de Fomento al Arte en la Educación – FAE 2026 – Convocatoria para instituciones y organizaciones culturales,"El Fondo de Fomento al Arte en la Educación – FAE 2026 – Convocatoria para instituciones y organizaciones culturales está dirigido exclusivamente a instituciones y organizaciones culturales chilenas, especialmente aquellas vinculadas a la educación artística formal, como escuelas y liceos artísticos, para el desarrollo de proyectos que fortalezcan la formación artística en estudiantes de entre 8 y 17 años; no se dirige a artistas individuales ni a colectivos independientes. La convocatoria financia proyectos en diversas disciplinas artísticas (artes visuales, música, artes escénicas, literatura, audiovisual, entre otras) orientados a la formación, extensión y difusión cultural en contextos escolares. No se requiere pago de inscripción para participar. Los montos asignados varían según la naturaleza y escala del proyecto, sujetos a disponibilidad presupuestaria y evaluación, sin que se especifique un monto fijo para los beneficiarios; la selección prioriza proyectos por puntaje y modalidad, otorgando preferencia a iniciativas de formación de talentos artísticos. La oportunidad está restringida a instituciones con domicilio y reconocimiento oficial dentro del país convocante, por lo que no está abierta a artistas ni entidades de otros países latinoamericanos."
Reino Unido,Convocatoria,"Open call for artists, curators &amp; architects","Hypha Studios busca artistas, comisarios y arquitectos para montar exposiciones en la icónica obra maestra posmoderna No.1 Poultry, Londres, diseñada por James Stirling. El edificio albergará un año de exposiciones en tres nuevos espacios de galería, programados tras una convocatoria abierta y gratuita que ya está abierta para propuestas. Estas tres galerías se encuentran en el corazón de la City de Londres y abrirán coincidiendo con la semana Frieze London. El espacio se otorga gratuitamente a los solicitantes seleccionados, quienes a cambio organizan y supervisan sus exposiciones y organizan eventos públicos. Una galería se presentará como una colaboración entre Hypha Studios y la plataforma de arte y arquitectura ""recised.space"". Se centrará en exposiciones que abordan cuestiones de arquitectura, paisaje o entorno construido, con propuestas que responden a la arquitectura única de No.1 Poultry, al posmodernismo o a la City de Londres. Deberás presentar tu solicitud en grupo con un artista principal o comisario. El sitio se te otorgará gratuitamente. A cambio, organizarás algunos eventos públicos junto con tu exposición: podrían ser talleres, charlas o cualquier cosa que apoye tus prácticas creativas.

"
EEUU,Beca,Steedman Fellowship 2026 theme and jury,"La Steedman Fellowship 2026 está dirigida a arquitectos practicantes de cualquier nacionalidad que hayan obtenido un título acreditado en arquitectura en los últimos ocho años; no admite postulaciones en equipo, solo individuales. La disciplina involucrada es exclusivamente la arquitectura, con énfasis en propuestas de investigación que aborden el papel de la arquitectura en la formación de espacios colectivos y la participación política. La beca otorga un premio único de $100,000 USD para financiar entre 6 y 12 meses de viaje internacional y desarrollo de investigación arquitectónica, excluyendo la posibilidad de usar los fondos para cursar estudios formales o cubrir gastos de acompañantes. La convocatoria requiere el pago de una tasa de inscripción de $75 USD. La oportunidad está abierta a arquitectos latinoamericanos, siempre que cumplan con el requisito del título acreditado y el límite de ocho años desde la obtención del mismo."
Argentina,Residencia,Programa de Residencias de Artes Vivas Sur-Sur de Planta Inclán,"Planta Inclán convoca a una residencia de seis semanas para artistas de prácticas corporales (teatro, danza, performance) o con enfoque interdisciplinario centrado en el cuerpo. Esta oportunidad está dirigida a artistas que no residan en CABA y el AMBA, sino en otras provincias de Argentina, y que desarrollen su práctica en su lugar de origen. La residencia combina el desarrollo diario del proyecto de investigación/creación del artista con 12 encuentros abiertos a la comunidad local para compartir prácticas y experiencias. Se ofrece pasajes, alojamiento, una beca de $2.200.000 para gastos diarios, y acceso a sedes de trabajo como Planta Inclán y Fundación Andreani, con el apoyo de sus equipos de producción y gestión."
Uruguay,Convocatoria,Convocatoria Fundación Itaú Uruguay 2026 - Proyectos de Cultura y Educación,"Dirigida a organizaciones, colectivos y personas con ciudadanía o residencia legal uruguaya (mínimo 3 años para extranjeros) para proyectos de cultura y educación a ejecutar entre enero-diciembre 2026, sin costo de inscripción. No especifica montos mínimos ni máximos de apoyo económico, evaluando según características del proyecto y disponibilidad de fondos. Incluye aporte económico, trabajo en red, capacitación y monitoreo. Prioriza criterios transversales: equidad de género, innovación o polinización cruzada (articulación cultura-educación). Requiere aportes propios y alianzas estratégicas. Acepta facturas de cooperativas artísticas. Solo para residentes en Uruguay, no está abierta a artistas de otros países latinoamericanos."
Argentina,Convocatoria,XIV Bienal de Arte Sacro Contemporáneo,"Dirigida a artistas argentinos y extranjeros mayores de 18 años para reflexionar sobre lo Sagrado como expresión de la trascendencia del hombre hacia lo divino, sin costo de inscripción. Disciplinas: pintura, dibujo, escultura, íconos, fotografía, video y artes digitales. Premios: Primer Premio 3.000.000 ARS (aprox. 3.000 USD), Segundo Premio 2.200.000 ARS (aprox. 2.200 USD), Mención 1.200.000 ARS (aprox. 1.200 USD), Premio estímulo 800.000 ARS (aprox. 800 USD). Los premios no son adquisición. Exhibición en el Museo Nacional de Arte Decorativo de Buenos Aires (marzo-mayo 2026). Convocatoria ecuménica abierta internacionalmente, incluyendo artistas latinoamericanos."
Múltiples Países,Beca,Santander Open Academy - Movilidad Internacional Incoming 2025,"Programa de formación gratuita del Banco Santander dirigido a personas mayores de 16 años (no es necesario ser cliente del banco) que incluye becas de movilidad internacional para estudiantes universitarios. Para estudiantes de artes ofrece: becas de movilidad académica nacional e internacional para realizar parte de sus estudios en otra institución académica, becas de investigación para proyectos artísticos específicos, becas de prácticas profesionales en el sector cultural y creativo, y acceso a cursos sobre habilidades digitales, marketing digital y liderazgo aplicables a carreras artísticas. El programa es totalmente gratuito y abierto a estudiantes de América Latina. Incluye certificados y credenciales al completar los cursos."
EEUU,Convocatoria,INT'L All Media 2025 - Northwest Arts Center,"Dirigida a artistas de todo el mundo mayores de 18 años en cualquier medio tradicional o experimental, con costo de inscripción de 30 USD por 2 obras (5 USD adicionales por obra extra, máximo 5). Premios: 2.500 USD distribuidos en cinco Merit Awards y un Best of Show elegido por la jurada Melissa Monroe. El Best of Show incluye una futura exhibición individual. Las obras deben estar listas para exhibir, completadas en los últimos dos años y no exhibidas previamente en INT'L. Exhibición del 23 oct al 20 dic 2025 en Minot State University, Dakota del Norte. Convocatoria internacional abierta a artistas latinoamericanos. Se cobra 30% de comisión sobre ventas."
EEUU,Beca,The Hodder Fellowship - Princeton University 2026-27,"Dirigida a artistas y escritores de promesa excepcional incluyendo compositores, coreógrafos, artistas escénicos, artistas visuales, escritores, traductores y otros artistas o humanistas, sin costo de inscripción. Ofrece un estipendio de 93.000 USD para una residencia de 10 meses (año académico) como Visiting Fellow sin obligaciones de enseñanza formal. Los candidatos exitosos generalmente han publicado un primer libro o tienen logros similares en sus campos. No se requiere ciudadanía estadounidense. La beca proporciona 'ocio estudioso' para emprender nuevos trabajos significativos. Abierta internacionalmente, incluyendo artistas latinoamericanos. No financia trabajos para títulos avanzados."
EEUU,Beca,Princeton Arts Fellowship 2026-28,"Dirigida a artistas de carrera temprana (visuales, cineastas, poetas, novelistas, dramaturgos, diseñadores, directores, artistas escénicos) cuyo trabajo demuestre promesa extraordinaria, sin costo de inscripción. Ofrece un estipendio de 93.000 USD anuales durante dos años académicos consecutivos (sep-jul) con obligación de enseñar un curso por semestre. Los fellows pueden dirigir obras o crear danzas con estudiantes en lugar de una clase. No se requiere ciudadanía estadounidense. No financia trabajos para títulos avanzados. Excluye a quienes hayan recibido Hodder Fellowship o tengan relación sostenida con Princeton. Abierta internacionalmente, incluyendo artistas latinoamericanos. Requiere propuesta de 750 palabras sobre desarrollo artístico, enseñanza y construcción de comunidad."
Internacional,Fondos,Kickstarter FilmStream Collective Fund - Distribución en Tubi,"Dirigida a cineastas de todo el mundo que usen Kickstarter para financiar sus proyectos, sin costo adicional al de la campaña de crowdfunding. El fondo apoya proyectos finales o casi finales con costos críticos de post-producción (edición, sonido, marketing). Los cineastas seleccionados obtienen: distribución garantizada en Tubi (97 millones de usuarios mensuales), inversión directa de Tubi en 10 campañas específicas, exclusividad de 3 meses en la plataforma, participación en ingresos publicitarios y visibilidad en biblioteca curada de más de 20 películas. Convocatoria abierta internacionalmente, incluyendo cineastas latinoamericanos. Las campañas deben lanzarse entre ahora y el 31 de agosto de 2025."
Virtual,Convocatoria,"Moons, Castles, Trees - AI Chronotopes - The Wrong Biennale 2025-26","Dirigida a artistas de todas las disciplinas (pintura, fotografía, escritura, poesía, caligrafía, ilustración, escultura, grabado, arte generativo, graffiti, etc.) para explorar realidades sintéticas e imaginadas a través de imágenes fijas, sin costo de inscripción. Acepta 1-6 imágenes por artista/grupo, incluyendo obras creadas con IA, fotografía tradicional o métodos mixtos. La exhibición se presentará en chronotopes.net hasta 2030 como parte de The Wrong Biennale, considerada la bienal de arte digital más grande del mundo según The New York Times. Los artistas conservan todos los derechos de autor. Incluye un paquete gratuito de 10 imágenes digitales para uso y remezcla. Convocatoria internacional abierta a artistas latinoamericanos. Se aceptan textos en formato de imagen."
Perú,Convocatoria,Convocatoria Artes Escénicas 2026 - Alianza Francesa Lima,"Dirigida a artistas, directores, coreógrafos, productores y compañías de teatro peruanos y extranjeros para presentar proyectos de artes escénicas (teatro, danza, títeres, performance, etc.) sin costo de inscripción. Dos modalidades: La Pépinière (cesión del teatro con 70% taquilla para la productora) y Coproducciones (apoyo financiero hasta 20.000 soles + 50% taquilla). Obras de coproducción deben preferentemente ser de autores franceses/francófonos o tratar temas relacionados con cultura francesa. Requiere directores con al menos 2 puestas en escena desde 2020. Valora innovación, temas ecológicos, memoria, inclusión social, derechos de las mujeres y tecnología. Abierta a artistas latinoamericanos. Resultados el 14 septiembre 2025."
Francia,Convocatoria,Festival Ojoloco 2026 - Cine Ibérico y Latinoamericano,"Dirigido a directores, productores y distribuidores iberoamericanos para enviar cortometrajes, largometrajes de ficción y documentales sin costo de inscripción. Las películas deben haber sido terminadas en 2024 o 2025. Los directores deben tener nacionalidad o orígenes iberoamericanos O las películas deben abordar la cultura iberoamericana. Formatos aceptados: DCP, ProRES, Blu-Ray, 35mm, 16mm. Las películas deben estar subtituladas en francés o tener posibilidad de subtitulado. Festival del 25 marzo al 6 abril 2025 en Grenoble, Francia. Fecha límite: 15 octubre 2025 para películas de 2024, 1 enero 2026 para películas de 2025. Abierto a cineastas latinoamericanos."
España,Fondos,MAFF - Málaga Festival Fund Co-production Event 2026,"Dirigido a cineastas, directores, productores y profesionales del audiovisual iberoamericano para presentar proyectos cinematográficos de largometraje con potencial de coproducción internacional, sin costo de inscripción. Enfoque en cinematografía iberoamericana innovadora con contenidos de conciencia social que generen sociedades inclusivas. Incluye secciones Social MAFF y MAFF Women Screen Industry. Ofrece formación, mentorías, conexiones de negocios y acceso a principales fondos de financiación internacional. Evento del 9-13 marzo 2026 durante el 29º Festival de Málaga. Resultados anunciados en Ventana Sur 2025. Busca desarrollar nuevo talento iberoamericano con proyectos viables y de relevancia internacional. Abierto a profesionales latinoamericanos."
Bélgica,,Field Studies 2025 International Summer School: A Choral Method,"Dirigida a artistas, estudiantes y profesionales de diversas disciplinas (música, arte, performance, arquitectura, poesía, etc.) para un taller transdisciplinario de verano explorando prácticas creativas colaborativas con enfoque en métodos corales. Requiere pago de €500/£430 (reducido a €370/£300 para ciertos participantes). Programa del 10-14 septiembre 2025 en LUCA School of Arts, Ghent. Incluye talleres, charlas, eventos y creación colectiva. Sin audición ni selección; abierto a todos con interés. Convocatoria internacional abierta a artistas latinoamericanos. No menciona premios monetarios."
EEUU,,Suncoast Composer Fellowship Program: Composing and Recording Workshop,"Dirigida a compositores de 14-30 años (estudiantes a profesionales) para escribir una composición de ~5 min, guiada por mentores, con residencia en Sarasota, FL. Requiere pago de  (ayuda financiera disponible). Incluye lecciones, talleres, discusiones y grabación profesional. Programa del 27 dic 2025 al 3 ene 2026. Disciplina: composición musical (solos o cámara). Convocatoria internacional abierta a compositores latinoamericanos. No incluye premios monetarios, pero ofrece desarrollo profesional."
Polonia,Convocatoria,GoSpatial 2025 - Open Call for Spatial Sound Projects,"Invitamos a artistas sonoros, compositores y experimentadores sónicos a establecer nuevos límites con nuestro nuevo instrumento de sonido espacial esférico, el Svarog 24, parte de la familia ""Singing Watermelons"".
¿Qué buscamos? Buscamos trabajos centrados en explorar o aprovechar el aspecto espacial del sonido, con una sólida calidad conceptual, en una de estas tres categorías: Diseño de sonido; Piezas experimentales (proyectos que rompen con las convenciones, experimentan con la forma o se basan íntegramente en el sonido espacial inmersivo)

Gran Premio: residencia colaborativa de una semana en nuestro estudio, ubicado en plena naturaleza en el suroeste de Polonia, adaptando tu trabajo para nuestro nuevo instrumento: Svarog 24, un array de beamforming esférico.
(Valor del premio: 7000 €)

3 Finalistas: taller práctico de fin de semana centrado en la espacialización y la adaptación de tu trabajo para altavoces de beamforming esféricos (Valor del premio: 2000 € cada uno)

Exhibición y Biblioteca

Todas las obras seleccionadas/preseleccionadas podrán ser adaptadas, presentadas e incluidas en nuestra biblioteca emergente de obras para altavoces esféricos (incluyendo ""Singing Watermelons"", IKO de Sonible e IEM, y #393), con posibles regalías en futuros eventos."
Polonia,Convocatoria,ULYSSES JOURNEYS FOR COMPOSERS – WARSAW AUTUMN,"El Festival Internacional de Música Contemporánea «Otoño de Varsovia» invita a dos jóvenes compositores a participar en dos talleres de composición organizados en el marco de la 68.ª edición del Festival. Estos talleres ofrecen a los jóvenes compositores la oportunidad de presentar sus partituras y consultar su música con artistas destacados cuyas obras se interpretarán durante el festival. Los jóvenes compositores también pueden asistir a otras sesiones de formación como oyentes. Todos los talleres se imparten en el Foro Cultural Austriaco. Este año, Otoño de Varsovia invitó a los siguientes compositores:
- Pierre Jodlowski (22 de septiembre)
- Lidia Zielińska (23 de septiembre)
- Ewa Trębacz (26 de septiembre)
- Franck Bedrossian (27 de septiembre)


"
EEUU,Convocatoria,Open Call for Composers – Apply Triangle Trio,"Chaospace, en colaboración con Apply Triangle Ensemble, se complace en anunciar una convocatoria abierta para compositores que creen una nueva obra para Apply Triangle: un trío de flauta, fagot, piano y electrónica. El compositor seleccionado recibirá el encargo de escribir una pieza de 7 a 8 minutos, que se estrenará en el Centro DiMenna de Música Clásica de Manhattan el 23 de noviembre de 2025. Requisitos de participación

Por favor, envíe los siguientes materiales:

2 o 3 muestras de composición, cada una con:
• Partitura (PDF)
• Grabación de audio o video
Al menos una de las obras presentadas debe incluir electrónica
CV o breve biografía del compositor

Detalles del encargo
El/Los compositor(es) seleccionado(s) recibirá(n) un honorario de $300
La obra comisionada debe tener una duración de 7 a 8 minutos
El compositor debe estar disponible para 2 o 3 ensayos con Apply Triangle antes de la función
El compositor debe asistir al estreno en Nueva York y operar la electrónica en vivo."
Suiza,Convocatoria,Call for compositions,"Ensemble eeek busca un compositor para crear una nueva pieza para un ensamble de diez músicos y una película clásica de quince minutos. Esta convocatoria está abierta a compositores de todos los orígenes, géneros y edades, de todo el mundo. Ofrecemos: una cuota de 4500 CHF; estreno de la obra en Basilea; gastos de viaje de hasta 300 CHF para el estreno; una noche de alojamiento en Basilea para el estreno. La obra debe tener una duración aproximada de 15 minutos y estar diseñada para acompañar la proyección de un cortometraje clásico. Se deben incluir los siguientes instrumentos:

Flauta
Clarinete
Saxofón
Trombón o bombardino
Percusión (1 músico)
Piano
Violín
Viola
Violonchelo
Contrabajo
"
Italia,Premio,PREMIO LELIO GIANNETTO 2025,"¡Nos complace anunciar otra de nuestras oportunidades únicas para explorar los límites de la música contemporánea! Con motivo del 5.º aniversario del fallecimiento de Lelio Giannetto, contrabajista y organizador internacional, la Asociación Curva Minore, fundada por él en 1997, lanza la primera edición de un concurso de composición dedicado a su instrumento: el contrabajo. ¿Quién puede participar? El concurso está abierto a compositores de cualquier nacionalidad, sin límite de edad. Categorías: 1. Contrabajo solista 2. Dos o tres contrabajos. Precio de inscripción: 40 € por composición
Premio: 1000 € por categoría

"
Grecia,Premio,International Dimitri Mitropoulos Competition for Composers,"El Concurso Internacional Dimitri Mitropoulos se creó en 1996 para conmemorar el centenario del nacimiento del gran director y compositor griego Dimitri Mitropoulos. Su principal objetivo es inspirar a nuevos músicos a través de la dedicación desinteresada de Dimitri Mitropoulos a la música. A lo largo de los años, esta visión ha contado con el apoyo de figuras distinguidas como Luciano Berio, George Crumb, Sir Neville Marriner, Rudolph Barshai, Cesare Mazzonis y Christobal Halffter, quienes han presidido el Jurado del Concurso en diversas ocasiones. El concurso de Dirección y Composición se organizó en años alternos a cargo de la Orquesta de Colores, en colaboración con Megaron, la Sala de Conciertos de Atenas, hasta 2011. Actualmente se ha renovado bajo los auspicios de la Orquesta Sinfónica Estatal de Tesalónica, en colaboración con la Sala de Conciertos de Tesalónica y con el apoyo del Ministerio de Cultura griego. Premios:
http://1.er/ Premio: 14.000 euros
2.º Premio: 7.000 euros
http://3.er/ Premio: 3.000 euros"
Italia,Premio,SEGNALI AUDIOVISUAL COMPETITION,"Dirigida a artistas de cualquier edad, estética o nacionalidad para participar en la primera Competencia Audiovisual del Festival SEGNALI en Perugia del 8 al 11 de octubre de 2025. No hay tarifa de registro y no hay restricciones. La componente visual puede ser de cualquier género excepto cine. Debe presentarse como proyección de pantalla única (HD 1920×1080) y tener una duración máxima de 15 minutos. Solo se puede enviar una obra creada en los últimos tres años. No requiere pago para aplicar. Disciplinas: artes audiovisuales, performance. Abierto a artistas de Latinoamérica."
Países Bajos,Premio,Applications are now open for the 2025 edition of the Black Pencil Prize for composition.,"Dirigida a compositores de cualquier nacionalidad y sin límite de edad, la convocatoria Black Pencil Prize for composition 2025 busca obras originales para el conjunto instrumental Black Pencil, con una duración máxima de 12 minutos y escrita para la formación específica del ensamble (recorder, panflute, viola, accordion y percussion). No se requiere pago de inscripción para participar. El premio para el compositor ganador es de 1,000 euros, además de la interpretación en vivo de la obra y grabación profesional. La oportunidad está abierta a postulantes de Latinoamérica."
España,Premio,VII International Contest of Musical Composition,"Dirigida a compositores de cualquier nacionalidad y sin límite de edad que no hayan sido premiados en ediciones anteriores, la convocatoria VII International Contest of Musical Composition busca obras originales e inéditas para clarinete en Si bemol y piano (sin medios electroacústicos), con una duración entre 12 y 20 minutos; solo se permite una obra por participante. El premio consiste en un único pago de 4.000 euros sujeto a retenciones fiscales, y el jurado puede declarar desierto el premio si lo considera pertinente. No se especifica ningún pago de inscripción para participar ni se limita la elegibilidad por región, por lo que está abierta a compositores de Latinoamérica."
Italia,Convocatoria,CALL FOR WORKS - 2025,"La convocatoria CALL FOR WORKS - 2025 está dirigida a compositores y creadoras/es de música contemporánea, sin restricción explícita de nacionalidad, por lo que pueden postular artistas de Latinoamérica siempre y cuando sus propuestas se ajusten a los criterios de la convocatoria; no se requiere pago de inscripción para participar. La oportunidad busca obras originales para ser interpretadas en el marco de festivales y actividades asociadas a la ULYSSES Platform, una red europea dedicada a la promoción de jóvenes talentos en la música contemporánea. No se especifica un monto económico como premio o remuneración para los seleccionados, ni se detallan honorarios concretos para los artistas en la información pública disponible, aunque se garantiza visibilidad profesional y la posibilidad de estrenar las obras en contextos internacionales relevantes."
Alemania,Premio,Winds Composition Contest Saxony,"Dirigido a compositoras y compositores de cualquier nacionalidad sin límite de edad interesados en escribir una obra para ensamble de vientos, el Winds Composition Contest Saxony no requiere pago de inscripción para participar. La disciplina artística involucrada es la composición musical contemporánea para ensamble de vientos. El concurso otorga un premio de 3.000 euros a la obra ganadora, que será estrenada durante el festival asociado; además, la organización cubre los gastos de viaje y alojamiento para el o la ganadora. La convocatoria está abierta a artistas de todo el mundo, incluyendo Latinoamérica, sin restricciones geográficas o de residencia."
EEUU,Convocatoria,Fifteen-Minutes-of-Fame featuring Alyssa Reit – lever harp - 2025,"Convocatoria internacional dirigida a compositores de cualquier nacionalidad para crear obras originales de un minuto de duración para arpa de palancas (lever harp), específicamente dedicadas a Alyssa Reit, dentro del proyecto Fifteen-Minutes-of-Fame featuring Alyssa Reit – lever harp - 2025. La participación es gratuita y requiere registro previo en la plataforma Music Avatar; no se acepta más de una obra por participante. No se especifica remuneración económica ni premios para los seleccionados; las obras elegidas serán estrenadas en línea durante 2025. La oportunidad está abierta a compositores de Latinoamérica y no existen restricciones geográficas explícitas en las bases."
Corea,Convocatoria,NMK 2025 Call for Scores “On & One Korea”,"Dirigida a compositores de cualquier nacionalidad y sin restricción de residencia, la convocatoria NMK 2025 Call for Scores “On & One Korea” invita a presentar partituras originales para orquesta y coro, cuyas obras seleccionadas serán estrenadas en un concierto especial. La oportunidad está abierta a todas las edades y nacionalidades, incluyendo artistas de Latinoamérica. No se menciona ningún pago de inscripción para participar, ni se especifica un monto económico destinado a los compositores seleccionados; el beneficio principal consiste en la interpretación pública de las obras seleccionadas. No se identifican otras disciplinas artísticas involucradas, ya que se trata exclusivamente de composición musical para orquesta y coro."
España,Convocatoria,"XVIII International Accordion Composition Competition ""Francisco Escudero""","Dirigida a compositores de cualquier edad y nacionalidad, la XVIII International Accordion Composition Competition ""Francisco Escudero"" invita a presentar obras originales escritas después de enero de 2021 para acordeón solo o música de cámara con acordeón (hasta 4 intérpretes, con al menos un acordeón); también existe una modalidad para obras pedagógicas dirigidas a estudiantes de 6 a 12 años. La convocatoria no requiere pago de inscripción y está abierta a participantes de Latinoamérica. El monto de los premios para los ganadores no se especifica en la información disponible; no obstante, se indica que la gala de entrega se celebrará el 19 de octubre de 2025 en Zarautz."
Italia,Convocatoria,Big Band Composition Competition,"Dirigido a compositores de cualquier nacionalidad y sin restricción de edad, el Big Band Composition Competition convoca a presentar obras inéditas escritas especialmente para la Tower Jazz Composers Orchestra (TJCO), destacando el enfoque multiestilístico, la improvisación, los solistas y las posibilidades orquestales de la agrupación; se aceptan también propuestas que integren medios mixtos como electrónica o elementos visuales. La participación requiere el pago de una cuota de inscripción entre 30 y 50 euros. No se especifican montos de premios ni honorarios para los seleccionados o ganadores. La convocatoria está abierta internacionalmente, por lo que compositores de Latinoamérica pueden participar."
Francia,Convocatoria,FIMS International Composition Competition,"Dirigida a compositores de cualquier nacionalidad, sin restricciones geográficas, la FIMS International Composition Competition invita a presentar hasta el 15 de octubre de 2025 una obra original escrita exclusivamente para un ensamble de 8 voces (soprano, mezzosoprano, alto, tres tenores, barítono y bajo) y dos trompas naturales (instrumentos históricos de alrededor de 1820, en diversas tonalidades). La convocatoria está abierta a todas las edades y no especifica restricciones por región, por lo que pueden participar artistas de Latinoamérica. No se menciona la existencia de un pago de inscripción ni el monto de premios o compensaciones económicas para los seleccionados o ganadores; esta información no está disponible en la descripción pública ni en las bases accesibles desde la página."
Italia,Convocatoria,Eidos Piano Project,"El Eidos Piano Project está dirigido a compositores de cualquier nacionalidad y sin límite de edad, orientado a la creación de un archivo de obras originales para piano solo, admitiendo partituras escritas desde el año 2000 en adelante, con o sin instrumentación electrónica. No se requiere pago de inscripción para participar. La convocatoria acepta obras que indiquen claramente su nivel educativo (preparatorio, propedéutico, licenciatura o máster), con límites de duración según la categoría, y las partituras seleccionadas serán utilizadas por docentes y estudiantes del Conservatorio de Como en actividades pedagógicas y de concierto. No se estipula ningún premio monetario ni compensación económica para los seleccionados, y la convocatoria está abierta a artistas latinoamericanos."
Francia,Convocatoria,IRCAM Cursus Academic Year 2026.2027,"El IRCAM Cursus Academic Year 2026.2027 está dirigido a compositores menores de 37 años de cualquier nacionalidad, incluyendo América Latina, interesados en composición e informática musical, especialmente con experiencia en obras electrónicas o multimedia. La convocatoria no requiere pago para postularse, pero los seleccionados deben abonar una matrícula total de 2.000 euros (incluye un depósito de 600 euros antes del 29 de abril de 2026). No se especifica la entrega de un estipendio ni apoyo financiero para los artistas participantes. La oportunidad está orientada a la composición contemporánea, música electrónica y proyectos interdisciplinarios que integren electrónica, artes visuales, danza, instalación o multimedia."
,Convocatoria,ACHROME ensemble INTERNATIONAL CALL for SCORES 2025 - 9th EDITION,"La convocatoria ACHROME ensemble INTERNATIONAL CALL for SCORES 2025 - 9th EDITION está dirigida a compositores de cualquier nacionalidad y sin límite de edad, interesados en la creación de obras de música contemporánea para ensemble; pueden participar artistas de Latinoamérica. La disciplina involucrada es la composición musical contemporánea para formación instrumental, específicamente orientada a nuevas partituras. Para participar es necesario abonar una tasa de inscripción, cuyo monto no se especifica en la información disponible públicamente; tampoco se indica un premio monetario o remuneración para los seleccionados, ni honorarios por ejecución, quedando estos aspectos sin detallar en la convocatoria publicada."
