Resumen generado por la IA,Oportunidades relacionadas,Nombre,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Inscripcion,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Disciplina,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Monto_Extraido_LLM,Moneda_Extraida_LLM
Beca︱Hodder Fellowship,Becas UPG para curso de liderazgo global en Estados Unidos (https://www.notion.so/Becas-UPG-para-curso-de-liderazgo-global-en-Estados-Unidos-1489dd874b3a8188bc48c256673191e2?pvs=21),The Hodder Fellowship - Princeton University 2026-27,Revisar,https://arts.princeton.edu/fellowships/hodder-fellowship/,EEUU,"September 9, 2025",Yes,Universidad de Princeton,,,No,"Dirigida a artistas y escritores de promesa excepcional incluyendo compositores, coreógrafos, artistas escénicos, artistas visuales, escritores, traductores y otros artistas o humanistas, sin costo de inscripción. Ofrece un estipendio de 93.000 USD para una residencia de 10 meses (año académico) como Visiting Fellow sin obligaciones de enseñanza formal. Los candidatos exitosos generalmente han publicado un primer libro o tienen logros similares en sus campos. No se requiere ciudadanía estadounidense. La beca proporciona 'ocio estudioso' para emprender nuevos trabajos significativos. Abierta internacionalmente, incluyendo artistas latinoamericanos. No financia trabajos para títulos avanzados.",,,Beca,"Otras, Multidisciplinar, Danza","August 6, 2025 12:41 PM",,,No,No,,No,,,,
Convocatoria︱Princeton Arts Fellowship,Becas UPG para curso de liderazgo global en Estados Unidos (https://www.notion.so/Becas-UPG-para-curso-de-liderazgo-global-en-Estados-Unidos-1489dd874b3a8188bc48c256673191e2?pvs=21),Princeton Arts Fellowship 2026-28,Revisar,https://arts.princeton.edu/fellowships/princeton-arts-fellowship/,EEUU,"September 9, 2025",Yes,Universidad de Princeton,,,No,"Dirigida a artistas de carrera temprana (visuales, cineastas, poetas, novelistas, dramaturgos, diseñadores, directores, artistas escénicos) cuyo trabajo demuestre promesa extraordinaria, sin costo de inscripción. Ofrece un estipendio de 93.000 USD anuales durante dos años académicos consecutivos (sep-jul) con obligación de enseñar un curso por semestre. Los fellows pueden dirigir obras o crear danzas con estudiantes en lugar de una clase. No se requiere ciudadanía estadounidense. No financia trabajos para títulos avanzados. Excluye a quienes hayan recibido Hodder Fellowship o tengan relación sostenida con Princeton. Abierta internacionalmente, incluyendo artistas latinoamericanos. Requiere propuesta de 750 palabras sobre desarrollo artístico, enseñanza y construcción de comunidad.",,,Beca,"Otras, Multidisciplinar, Educación","August 6, 2025 12:42 PM",,,No,No,,No,,,,
Fondos︱Kickstarter FilmStream Collective Fund,,Kickstarter FilmStream Collective Fund - Distribución en Tubi,Revisar,https://www.kickstarter.com/tubi,Internacional,"August 31, 2025",Yes,Tubi,,,No,"Dirigida a cineastas de todo el mundo que usen Kickstarter para financiar sus proyectos, sin costo adicional al de la campaña de crowdfunding. El fondo apoya proyectos finales o casi finales con costos críticos de post-producción (edición, sonido, marketing). Los cineastas seleccionados obtienen: distribución garantizada en Tubi (97 millones de usuarios mensuales), inversión directa de Tubi en 10 campañas específicas, exclusividad de 3 meses en la plataforma, participación en ingresos publicitarios y visibilidad en biblioteca curada de más de 20 películas. Convocatoria abierta internacionalmente, incluyendo cineastas latinoamericanos. Las campañas deben lanzarse entre ahora y el 31 de agosto de 2025.",,,Fondos,Cine,"August 6, 2025 12:43 PM",,,No,No,,No,,,,
Convocatoria︱The Wrong Biennale,,"Moons, Castles, Trees - AI Chronotopes - The Wrong Biennale 2025-26",Revisar,https://chronotopes.net/open-call,Virtual,"September 15, 2025",Yes,Chronotopes,,,No,"Dirigida a artistas de todas las disciplinas (pintura, fotografía, escritura, poesía, caligrafía, ilustración, escultura, grabado, arte generativo, graffiti, etc.) para explorar realidades sintéticas e imaginadas a través de imágenes fijas, sin costo de inscripción. Acepta 1-6 imágenes por artista/grupo, incluyendo obras creadas con IA, fotografía tradicional o métodos mixtos. La exhibición se presentará en chronotopes.net hasta 2030 como parte de The Wrong Biennale, considerada la bienal de arte digital más grande del mundo según The New York Times. Los artistas conservan todos los derechos de autor. Incluye un paquete gratuito de 10 imágenes digitales para uso y remezcla. Convocatoria internacional abierta a artistas latinoamericanos. Se aceptan textos en formato de imagen.",,,Convocatoria,"Otras, Multidisciplinar","August 6, 2025 12:46 PM",,,No,No,,No,,,,
Convocatoria︱Artes Escénicas 2026,Convocatoria Danza a Escena 2026 (https://www.notion.so/Convocatoria-Danza-a-Escena-2026-23c9dd874b3a810a9a88d0855bdf4f60?pvs=21),Convocatoria Artes Escénicas 2026 - Alianza Francesa Lima,Revisar,https://aflima.org.pe/evento/convocatoria-artes-escenicas-2026/,Perú,"August 24, 2025",Yes,Alianza Francesa,,,No,"Dirigida a artistas, directores, coreógrafos, productores y compañías de teatro peruanos y extranjeros para presentar proyectos de artes escénicas (teatro, danza, títeres, performance, etc.) sin costo de inscripción. Dos modalidades: La Pépinière (cesión del teatro con 70% taquilla para la productora) y Coproducciones (apoyo financiero hasta 20.000 soles + 50% taquilla). Obras de coproducción deben preferentemente ser de autores franceses/francófonos o tratar temas relacionados con cultura francesa. Requiere directores con al menos 2 puestas en escena desde 2020. Valora innovación, temas ecológicos, memoria, inclusión social, derechos de las mujeres y tecnología. Abierta a artistas latinoamericanos. Resultados el 14 septiembre 2025.",,,Convocatoria,"Escénicas, Teatro, Danza","August 7, 2025 10:48 AM",,,No,No,,No,,,,
Convocatoria︱Ojoloco 2026,,Festival Ojoloco 2026 - Cine Ibérico y Latinoamericano,Revisar,https://www.ojoloco-grenoble.com/appel-a-films,Francia,"January 1, 2026",Yes,Ojoloco,,,No,"Dirigido a directores, productores y distribuidores iberoamericanos para enviar cortometrajes, largometrajes de ficción y documentales sin costo de inscripción. Las películas deben haber sido terminadas en 2024 o 2025. Los directores deben tener nacionalidad o orígenes iberoamericanos O las películas deben abordar la cultura iberoamericana. Formatos aceptados: DCP, ProRES, Blu-Ray, 35mm, 16mm. Las películas deben estar subtituladas en francés o tener posibilidad de subtitulado. Festival del 25 marzo al 6 abril 2025 en Grenoble, Francia. Fecha límite: 15 octubre 2025 para películas de 2024, 1 enero 2026 para películas de 2025. Abierto a cineastas latinoamericanos.",,,Convocatoria,Cine,"August 7, 2025 10:49 AM",,,No,No,,No,,,,
Convocatoria︱MAFF Málaga Festival Fund,Almería International Film Festival (https://www.notion.so/Almer-a-International-Film-Festival-2369dd874b3a81b3abe6ec97cf02e886?pvs=21),MAFF - Málaga Festival Fund Co-production Event 2026,Revisar,https://mafiz.es/es/evento/maff/presentacion,España,"November 12, 2025",Yes,MAFF,,,No,"Dirigido a cineastas, directores, productores y profesionales del audiovisual iberoamericano para presentar proyectos cinematográficos de largometraje con potencial de coproducción internacional, sin costo de inscripción. Enfoque en cinematografía iberoamericana innovadora con contenidos de conciencia social que generen sociedades inclusivas. Incluye secciones Social MAFF y MAFF Women Screen Industry. Ofrece formación, mentorías, conexiones de negocios y acceso a principales fondos de financiación internacional. Evento del 9-13 marzo 2026 durante el 29º Festival de Málaga. Resultados anunciados en Ventana Sur 2025. Busca desarrollar nuevo talento iberoamericano con proyectos viables y de relevancia internacional. Abierto a profesionales latinoamericanos.",,,Fondos,"Cine, Social, Inclusión","August 7, 2025 10:49 AM",,,No,No,,No,,,,
Convocatoria︱Field Studies 2025 Summer School,Programa de Apoyo para la Participación en Mercados Internacionales – MIPCancún (https://www.notion.so/Programa-de-Apoyo-para-la-Participaci-n-en-Mercados-Internacionales-MIPCanc-n-23d9dd874b3a81e48392ee7aefaa6b08?pvs=21),Field Studies 2025 International Summer School: A Choral Method,Revisar,https://soundandmusic.org/opportunity/field-studies-2025-international-summer-school-a-choral-method-10-14-sep-2025-luca-school-of-art-ghent/,Bélgica,"August 31, 2025",Yes,LUCA School of Arts,,,No,"Dirigida a artistas, estudiantes y profesionales de diversas disciplinas (música, arte, performance, arquitectura, poesía, etc.) para un taller transdisciplinario de verano explorando prácticas creativas colaborativas con enfoque en métodos corales. Requiere pago de €500/£430 (reducido a €370/£300 para ciertos participantes). Programa del 10-14 septiembre 2025 en LUCA School of Arts, Ghent. Incluye talleres, charlas, eventos y creación colectiva. Sin audición ni selección; abierto a todos con interés. Convocatoria internacional abierta a artistas latinoamericanos. No menciona premios monetarios.",,,,"Otras, Multidisciplinar, Música","August 7, 2025 11:20 AM",,,No,No,,No,,,,
Convocatoria︱Suncoast Composer Fellowship Program,Apoyo | Programa de Subvenciones de Investigación y Preservación de la Música Latina 2025 (https://www.notion.so/Apoyo-Programa-de-Subvenciones-de-Investigaci-n-y-Preservaci-n-de-la-M-sica-Latina-2025-2299dd874b3a8029a124c4d420b59016?pvs=21),Suncoast Composer Fellowship Program: Composing and Recording Workshop,Revisar,https://soundandmusic.org/opportunity/suncoast-composer-fellowship-program-composing-and-recording-workshop/,EEUU,"September 7, 2025",Yes,Sound and Music,,,No,"Dirigida a compositores de 14-30 años (estudiantes a profesionales) para escribir una composición de ~5 min, guiada por mentores, con residencia en Sarasota, FL. Requiere pago de  (ayuda financiera disponible). Incluye lecciones, talleres, discusiones y grabación profesional. Programa del 27 dic 2025 al 3 ene 2026. Disciplina: composición musical (solos o cámara). Convocatoria internacional abierta a compositores latinoamericanos. No incluye premios monetarios, pero ofrece desarrollo profesional.",,,,"Música, Composición, Grabación","August 7, 2025 11:23 AM",,,No,No,,No,,,,
Premio︱Svarog 24,,GoSpatial 2025 - Open Call for Spatial Sound Projects,Revisar,https://ulysses-platform.eu/opportunity/gospatial-2025-open-call-spatial-sound-projects,Polonia,"August 10, 2025",Yes,https://slovox.design/,,,No,"Invitamos a artistas sonoros, compositores y experimentadores sónicos a establecer nuevos límites con nuestro nuevo instrumento de sonido espacial esférico, el Svarog 24, parte de la familia ""Singing Watermelons"".
¿Qué buscamos? Buscamos trabajos centrados en explorar o aprovechar el aspecto espacial del sonido, con una sólida calidad conceptual, en una de estas tres categorías: Diseño de sonido; Piezas experimentales (proyectos que rompen con las convenciones, experimentan con la forma o se basan íntegramente en el sonido espacial inmersivo)

Gran Premio: residencia colaborativa de una semana en nuestro estudio, ubicado en plena naturaleza en el suroeste de Polonia, adaptando tu trabajo para nuestro nuevo instrumento: Svarog 24, un array de beamforming esférico.
(Valor del premio: 7000 €)

3 Finalistas: taller práctico de fin de semana centrado en la espacialización y la adaptación de tu trabajo para altavoces de beamforming esféricos (Valor del premio: 2000 € cada uno)

Exhibición y Biblioteca

Todas las obras seleccionadas/preseleccionadas podrán ser adaptadas, presentadas e incluidas en nuestra biblioteca emergente de obras para altavoces esféricos (incluyendo ""Singing Watermelons"", IKO de Sonible e IEM, y #393), con posibles regalías en futuros eventos.",,https://ulysses-platform.eu/opportunity/gospatial-2025-open-call-spatial-sound-projects,Convocatoria,Música,"August 7, 2025 11:33 AM",,,No,No,,No,,,,
Convocatoria︱ULYSSES JOURNEYS COMPOSERS,,ULYSSES JOURNEYS FOR COMPOSERS – WARSAW AUTUMN,Revisar,https://ulysses-platform.eu/opportunity/ulysses-journeys-composers-warsaw-autumn,Polonia,"August 15, 2025",Yes,https://warszawska-jesien.art.pl/,,,No,"El Festival Internacional de Música Contemporánea «Otoño de Varsovia» invita a dos jóvenes compositores a participar en dos talleres de composición organizados en el marco de la 68.ª edición del Festival. Estos talleres ofrecen a los jóvenes compositores la oportunidad de presentar sus partituras y consultar su música con artistas destacados cuyas obras se interpretarán durante el festival. Los jóvenes compositores también pueden asistir a otras sesiones de formación como oyentes. Todos los talleres se imparten en el Foro Cultural Austriaco. Este año, Otoño de Varsovia invitó a los siguientes compositores:
- Pierre Jodlowski (22 de septiembre)
- Lidia Zielińska (23 de septiembre)
- Ewa Trębacz (26 de septiembre)
- Franck Bedrossian (27 de septiembre)


",,https://ulysses-platform.eu/opportunity/ulysses-journeys-composers-warsaw-autumn,Convocatoria,Música,"August 7, 2025 11:33 AM",,,No,No,,No,,,,
Convocatoria︱Triangle Trio,Apoyo | Programa de Subvenciones de Investigación y Preservación de la Música Latina 2025 (https://www.notion.so/Apoyo-Programa-de-Subvenciones-de-Investigaci-n-y-Preservaci-n-de-la-M-sica-Latina-2025-2299dd874b3a8029a124c4d420b59016?pvs=21),Open Call for Composers – Apply Triangle Trio,Revisar,https://ulysses-platform.eu/opportunity/open-call-composers-apply-triangle-trio,EEUU,"August 20, 2025",Yes,Triangle Trio,,,No,"Chaospace, en colaboración con Apply Triangle Ensemble, se complace en anunciar una convocatoria abierta para compositores que creen una nueva obra para Apply Triangle: un trío de flauta, fagot, piano y electrónica. El compositor seleccionado recibirá el encargo de escribir una pieza de 7 a 8 minutos, que se estrenará en el Centro DiMenna de Música Clásica de Manhattan el 23 de noviembre de 2025. Requisitos de participación

Por favor, envíe los siguientes materiales:

2 o 3 muestras de composición, cada una con:
• Partitura (PDF)
• Grabación de audio o video
Al menos una de las obras presentadas debe incluir electrónica
CV o breve biografía del compositor

Detalles del encargo
El/Los compositor(es) seleccionado(s) recibirá(n) un honorario de $300
La obra comisionada debe tener una duración de 7 a 8 minutos
El compositor debe estar disponible para 2 o 3 ensayos con Apply Triangle antes de la función
El compositor debe asistir al estreno en Nueva York y operar la electrónica en vivo.",,https://ulysses-platform.eu/opportunity/open-call-composers-apply-triangle-trio,Convocatoria,Música,"August 7, 2025 11:33 AM",,,No,No,,No,,,,
Convocatoria︱Call for compositions Ensamble eeek,,Call for compositions,Revisar,https://ulysses-platform.eu/opportunity/call-compositions-0,Suiza,"August 31, 2025",Yes,https://www.ensemble-eeek.com/,,,No,"Ensemble eeek busca un compositor para crear una nueva pieza para un ensamble de diez músicos y una película clásica de quince minutos. Esta convocatoria está abierta a compositores de todos los orígenes, géneros y edades, de todo el mundo. Ofrecemos: una cuota de 4500 CHF; estreno de la obra en Basilea; gastos de viaje de hasta 300 CHF para el estreno; una noche de alojamiento en Basilea para el estreno. La obra debe tener una duración aproximada de 15 minutos y estar diseñada para acompañar la proyección de un cortometraje clásico. Se deben incluir los siguientes instrumentos:

Flauta
Clarinete
Saxofón
Trombón o bombardino
Percusión (1 músico)
Piano
Violín
Viola
Violonchelo
Contrabajo
",,https://ulysses-platform.eu/opportunity/call-compositions-0,Convocatoria,Música,"August 7, 2025 11:33 AM",,,No,Yes,,No,,,,
Premio︱Lelio Giannetto,Premio | Premio Ibermúsicas de composición de obra para Banda Sinfónica (https://www.notion.so/Premio-Premio-Iberm-sicas-de-composici-n-de-obra-para-Banda-Sinf-nica-21a9dd874b3a813d847fe66c1ef9ad77?pvs=21),PREMIO LELIO GIANNETTO 2025,Revisar,https://ulysses-platform.eu/opportunity/premio-lelio-giannetto-2025,Italia,"August 31, 2025",Yes,Concorso Internazionale di Composizione Lelio Giannetto,Pago,,No,"¡Nos complace anunciar otra de nuestras oportunidades únicas para explorar los límites de la música contemporánea! Con motivo del 5.º aniversario del fallecimiento de Lelio Giannetto, contrabajista y organizador internacional, la Asociación Curva Minore, fundada por él en 1997, lanza la primera edición de un concurso de composición dedicado a su instrumento: el contrabajo. ¿Quién puede participar? El concurso está abierto a compositores de cualquier nacionalidad, sin límite de edad. Categorías: 1. Contrabajo solista 2. Dos o tres contrabajos. Precio de inscripción: 40 € por composición
Premio: 1000 € por categoría

",,https://www.curvaminore.org/concorso-internazionale-di-composizione-lelio-giannetto/,Premio,Música,"August 7, 2025 11:33 AM",,,No,Yes,,No,,,,
Concurso︱Dimitri Mitropoulos Competition Compositores,,International Dimitri Mitropoulos Competition for Composers,Revisar,https://ulysses-platform.eu/opportunity/international-dimitri-mitropoulos-competition-composers,Grecia,"August 31, 2025",Yes,https://www.mitropouloscompetition.gr/thessaloniki-state-symphony-orchestra/,,,No,"El Concurso Internacional Dimitri Mitropoulos se creó en 1996 para conmemorar el centenario del nacimiento del gran director y compositor griego Dimitri Mitropoulos. Su principal objetivo es inspirar a nuevos músicos a través de la dedicación desinteresada de Dimitri Mitropoulos a la música. A lo largo de los años, esta visión ha contado con el apoyo de figuras distinguidas como Luciano Berio, George Crumb, Sir Neville Marriner, Rudolph Barshai, Cesare Mazzonis y Christobal Halffter, quienes han presidido el Jurado del Concurso en diversas ocasiones. El concurso de Dirección y Composición se organizó en años alternos a cargo de la Orquesta de Colores, en colaboración con Megaron, la Sala de Conciertos de Atenas, hasta 2011. Actualmente se ha renovado bajo los auspicios de la Orquesta Sinfónica Estatal de Tesalónica, en colaboración con la Sala de Conciertos de Tesalónica y con el apoyo del Ministerio de Cultura griego. Premios:
http://1.er/ Premio: 14.000 euros
2.º Premio: 7.000 euros
http://3.er/ Premio: 3.000 euros",,https://www.mitropouloscompetition.gr/,Premio,Música,"August 7, 2025 11:34 AM",,,No,Yes,,No,,,,
Concurso︱SEGNALI AUDIOVISUAL COMPETITION,,SEGNALI AUDIOVISUAL COMPETITION,Revisar,https://ulysses-platform.eu/opportunity/segnali-audiovisual-competition,Italia,"August 31, 2025",Yes,SEGNALI Ensamble,,,No,"Dirigida a artistas de cualquier edad, estética o nacionalidad para participar en la primera Competencia Audiovisual del Festival SEGNALI en Perugia del 8 al 11 de octubre de 2025. No hay tarifa de registro y no hay restricciones. La componente visual puede ser de cualquier género excepto cine. Debe presentarse como proyección de pantalla única (HD 1920×1080) y tener una duración máxima de 15 minutos. Solo se puede enviar una obra creada en los últimos tres años. No requiere pago para aplicar. Disciplinas: artes audiovisuales, performance. Abierto a artistas de Latinoamérica.",,https://ulysses-platform.eu/opportunity/segnali-audiovisual-competition,Premio,Música,"August 7, 2025 11:34 AM",,,No,Yes,,No,,,,
Premio︱Black Pencil Prize Composition,Premio | Premio Ibermúsicas de canción para las infancias (https://www.notion.so/Premio-Premio-Iberm-sicas-de-canci-n-para-las-infancias-21b9dd874b3a80d2bcb1cdf842aeaedd?pvs=21),Applications are now open for the 2025 edition of the Black Pencil Prize for composition.,Revisar,https://ulysses-platform.eu/opportunity/applications-are-now-open-2025-edition-black-pencil-prize-composition,Países Bajos,"September 1, 2025",Yes,Black Pencil Ensemble,,,No,"Dirigida a compositores de cualquier nacionalidad y sin límite de edad, la convocatoria Black Pencil Prize for composition 2025 busca obras originales para el conjunto instrumental Black Pencil, con una duración máxima de 12 minutos y escrita para la formación específica del ensamble (recorder, panflute, viola, accordion y percussion). No se requiere pago de inscripción para participar. El premio para el compositor ganador es de 1,000 euros, además de la interpretación en vivo de la obra y grabación profesional. La oportunidad está abierta a postulantes de Latinoamérica.",,https://www.blackpencil.org/black-pencil-prize-2025,Premio,"Música, Composición","August 7, 2025 11:34 AM",,,No,Yes,,No,,,,
Concurso︱VII International Contest Musical Composition,,VII International Contest of Musical Composition,Revisar,https://ulysses-platform.eu/opportunity/vii-international-contest-musical-composition,España,"September 5, 2025",Yes,VII International Contest of Musical Composition,,,No,"Dirigida a compositores de cualquier nacionalidad y sin límite de edad que no hayan sido premiados en ediciones anteriores, la convocatoria VII International Contest of Musical Composition busca obras originales e inéditas para clarinete en Si bemol y piano (sin medios electroacústicos), con una duración entre 12 y 20 minutos; solo se permite una obra por participante. El premio consiste en un único pago de 4.000 euros sujeto a retenciones fiscales, y el jurado puede declarar desierto el premio si lo considera pertinente. No se especifica ningún pago de inscripción para participar ni se limita la elegibilidad por región, por lo que está abierta a compositores de Latinoamérica.",,https://realacademiasancarlos.com/bases-concurso-internacional-de-composicion/,Premio,"Música, Composición, Piano","August 7, 2025 11:34 AM",,,No,Yes,,No,,,,
Convocatoria︱CALL FOR WORKS https://www.sistemaensemble.com/,,CALL FOR WORKS - 2025,Revisar,https://ulysses-platform.eu/opportunity/call-works-2025,Italia,"September 5, 2025",Yes,https://www.sistemaensemble.com/,,,No,"La convocatoria CALL FOR WORKS - 2025 está dirigida a compositores y creadoras/es de música contemporánea, sin restricción explícita de nacionalidad, por lo que pueden postular artistas de Latinoamérica siempre y cuando sus propuestas se ajusten a los criterios de la convocatoria; no se requiere pago de inscripción para participar. La oportunidad busca obras originales para ser interpretadas en el marco de festivales y actividades asociadas a la ULYSSES Platform, una red europea dedicada a la promoción de jóvenes talentos en la música contemporánea. No se especifica un monto económico como premio o remuneración para los seleccionados, ni se detallan honorarios concretos para los artistas en la información pública disponible, aunque se garantiza visibilidad profesional y la posibilidad de estrenar las obras en contextos internacionales relevantes.",,https://www.sistemaensemble.com/,Convocatoria,"Música, Composición","August 7, 2025 11:34 AM",,,No,Yes,,No,,,,
Concurso︱Winds Composition Contest Saxony,Premio | Premio Ibermúsicas de canción para las infancias (https://www.notion.so/Premio-Premio-Iberm-sicas-de-canci-n-para-las-infancias-21b9dd874b3a80d2bcb1cdf842aeaedd?pvs=21),Winds Composition Contest Saxony,Revisar,https://ulysses-platform.eu/opportunity/winds-composition-contest-saxony,Alemania,"September 15, 2025",Yes,https://www.shelivesmusic.it/,Pago,,No,"Dirigido a compositoras y compositores de cualquier nacionalidad sin límite de edad interesados en escribir una obra para ensamble de vientos, el Winds Composition Contest Saxony no requiere pago de inscripción para participar. La disciplina artística involucrada es la composición musical contemporánea para ensamble de vientos. El concurso otorga un premio de 3.000 euros a la obra ganadora, que será estrenada durante el festival asociado; además, la organización cubre los gastos de viaje y alojamiento para el o la ganadora. La convocatoria está abierta a artistas de todo el mundo, incluyendo Latinoamérica, sin restricciones geográficas o de residencia.",,https://www.dresdner-blaeserphilharmonie.de/wccs/en,Premio,"Música, Composición, Vientos","August 7, 2025 11:34 AM",,,No,No,,No,,,,
Convocatoria︱Fifteen-Minutes-of-Fame Alyssa Reit,Apoyo | Programa de Subvenciones de Investigación y Preservación de la Música Latina 2025 (https://www.notion.so/Apoyo-Programa-de-Subvenciones-de-Investigaci-n-y-Preservaci-n-de-la-M-sica-Latina-2025-2299dd874b3a8029a124c4d420b59016?pvs=21),Fifteen-Minutes-of-Fame featuring Alyssa Reit – lever harp - 2025,Revisar,https://ulysses-platform.eu/opportunity/fifteen-minutes-fame-featuring-alyssa-reit-lever-harp-2025,EEUU,"September 15, 2025",Yes,Vox Novus,,,No,"Convocatoria internacional dirigida a compositores de cualquier nacionalidad para crear obras originales de un minuto de duración para arpa de palancas (lever harp), específicamente dedicadas a Alyssa Reit, dentro del proyecto Fifteen-Minutes-of-Fame featuring Alyssa Reit – lever harp - 2025. La participación es gratuita y requiere registro previo en la plataforma Music Avatar; no se acepta más de una obra por participante. No se especifica remuneración económica ni premios para los seleccionados; las obras elegidas serán estrenadas en línea durante 2025. La oportunidad está abierta a compositores de Latinoamérica y no existen restricciones geográficas explícitas en las bases.",,http://www.voxnovus.com/NM421/,Convocatoria,"Música, Canto, Composición","August 7, 2025 11:34 AM",,,No,No,,No,,,,
Convocatoria︱NMK 2025 Call for Scores “On & One Korea”,Convocatoria Programa de Apoyo a Coros – Fondo de la Música 2025 (https://www.notion.so/Convocatoria-Programa-de-Apoyo-a-Coros-Fondo-de-la-M-sica-2025-23d9dd874b3a81608bbcd7de629cbc53?pvs=21),NMK 2025 Call for Scores “On & One Korea”,Revisar,https://ulysses-platform.eu/opportunity/nmk-2025-call-scores-one-korea,Corea,"September 25, 2025",Yes,NMK Korea,,,No,"Dirigida a compositores de cualquier nacionalidad y sin restricción de residencia, la convocatoria NMK 2025 Call for Scores “On & One Korea” invita a presentar partituras originales para orquesta y coro, cuyas obras seleccionadas serán estrenadas en un concierto especial. La oportunidad está abierta a todas las edades y nacionalidades, incluyendo artistas de Latinoamérica. No se menciona ningún pago de inscripción para participar, ni se especifica un monto económico destinado a los compositores seleccionados; el beneficio principal consiste en la interpretación pública de las obras seleccionadas. No se identifican otras disciplinas artísticas involucradas, ya que se trata exclusivamente de composición musical para orquesta y coro.",,https://neue-musik-korea.com/call/,Convocatoria,"Música, Sinfónico-Coral ","August 7, 2025 11:34 AM",,,No,No,,No,,,,
Concurso︱Composción para Acordeón,,"XVIII International Accordion Composition Competition ""Francisco Escudero""",Revisar,https://ulysses-platform.eu/opportunity/xviii-international-accordion-composition-competition-francisco-escudero,España,"September 29, 2025",Yes,https://hauspoz.org/main-home-english/,,,No,"Dirigida a compositores de cualquier edad y nacionalidad, la XVIII International Accordion Composition Competition ""Francisco Escudero"" invita a presentar obras originales escritas después de enero de 2021 para acordeón solo o música de cámara con acordeón (hasta 4 intérpretes, con al menos un acordeón); también existe una modalidad para obras pedagógicas dirigidas a estudiantes de 6 a 12 años. La convocatoria no requiere pago de inscripción y está abierta a participantes de Latinoamérica. El monto de los premios para los ganadores no se especifica en la información disponible; no obstante, se indica que la gala de entrega se celebrará el 19 de octubre de 2025 en Zarautz.",,https://hauspoz.org,Convocatoria,"Música, Acordeón, Cámara","August 7, 2025 11:34 AM",,,No,No,,No,,,,
Concurso︱Big Band Composition Competition,,Big Band Composition Competition,Revisar,https://ulysses-platform.eu/opportunity/big-band-composition-competition,Italia,"October 1, 2025",Yes,https://www.istantanea.eu/,Pago,,No,"Dirigido a compositores de cualquier nacionalidad y sin restricción de edad, el Big Band Composition Competition convoca a presentar obras inéditas escritas especialmente para la Tower Jazz Composers Orchestra (TJCO), destacando el enfoque multiestilístico, la improvisación, los solistas y las posibilidades orquestales de la agrupación; se aceptan también propuestas que integren medios mixtos como electrónica o elementos visuales. La participación requiere el pago de una cuota de inscripción entre 30 y 50 euros. No se especifican montos de premios ni honorarios para los seleccionados o ganadores. La convocatoria está abierta internacionalmente, por lo que compositores de Latinoamérica pueden participar.",,https://www.istantanea.eu/concorso-composizione-big-band/,Convocatoria,"Música, Improvisación","August 7, 2025 11:35 AM",,,No,No,,No,,,,
Concurso︱FIMS International Composition Competition,Premio | Certamen Internacional de Guitarra de Barcelona Miquel Llobet - Interpretación (https://www.notion.so/Premio-Certamen-Internacional-de-Guitarra-de-Barcelona-Miquel-Llobet-Interpretaci-n-1d49dd874b3a812bbbe7ca3c63df73f2?pvs=21),FIMS International Composition Competition,Revisar,https://ulysses-platform.eu/opportunity/fims-international-composition-competition,Francia,"October 15, 2025",Yes,https://fims-fribourg.ch/fr,,,No,"Dirigida a compositores de cualquier nacionalidad, sin restricciones geográficas, la FIMS International Composition Competition invita a presentar hasta el 15 de octubre de 2025 una obra original escrita exclusivamente para un ensamble de 8 voces (soprano, mezzosoprano, alto, tres tenores, barítono y bajo) y dos trompas naturales (instrumentos históricos de alrededor de 1820, en diversas tonalidades). La convocatoria está abierta a todas las edades y no especifica restricciones por región, por lo que pueden participar artistas de Latinoamérica. No se menciona la existencia de un pago de inscripción ni el monto de premios o compensaciones económicas para los seleccionados o ganadores; esta información no está disponible en la descripción pública ni en las bases accesibles desde la página.",,https://calls.ircam.fr/competitions/fims-25/,Convocatoria,"Música, Composición","August 7, 2025 11:35 AM",,,No,No,,No,,,,
Convocatoria︱Eidos Piano Project,,Eidos Piano Project,Revisar,https://ulysses-platform.eu/opportunity/eidos-piano-project,Italia,"October 30, 2025",Yes,https://conservatoriocomo.it/,,,No,"El Eidos Piano Project está dirigido a compositores de cualquier nacionalidad y sin límite de edad, orientado a la creación de un archivo de obras originales para piano solo, admitiendo partituras escritas desde el año 2000 en adelante, con o sin instrumentación electrónica. No se requiere pago de inscripción para participar. La convocatoria acepta obras que indiquen claramente su nivel educativo (preparatorio, propedéutico, licenciatura o máster), con límites de duración según la categoría, y las partituras seleccionadas serán utilizadas por docentes y estudiantes del Conservatorio de Como en actividades pedagógicas y de concierto. No se estipula ningún premio monetario ni compensación económica para los seleccionados, y la convocatoria está abierta a artistas latinoamericanos.",,https://conservatoriocomo.it/eidos-piano-project/#1732536174247-a5cb82c3-e424,Convocatoria,"Música, Composición, Piano","August 7, 2025 11:35 AM",,,No,No,,No,,,,
