Nombre,Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Premio_USD,Inscripcion_USD_web
Premio | XLVI Certamen de Poesía Manuel Garrido Chamorro,Premio | XLVI Certamen de Poesía Manuel Garrido Chamorro,España,Ayuntamiento de Martos,"Dirigido a a los escritores y escritoras de poesía, mayores de edad, siempre que sus obras se presenten escritas en castellano.  La modalidad obligatoria será un trabajo, original, inédito y que no haya sido premiado ni publicado (íntegra o parcialmente) en ningún otro certamen ni en formato digital. Los autores elegirán libremente el tema y su correspondiente tratamiento formal. La extensión del trabajo no podrá ser inferior a 150 versos ni superior a 200. Premio: 1.000 euros",https://martos.es/convocatoria-de-martos-cultural-2025/,Premio,"Literatura, Poesía",Literatura,Sin cargo,1000.0,EUR,15329.01,,
Residencia | Residències B-Murals 2026,Residencia | Residències B-Murals 2026,España,B-Murals Centre d'Art Urbà,"Dirigida principalmente a artistas visuales y plásticos,
pero también artistas multidisciplinares que puedan aplicar su trabajo al espacio público: arte urbano, artes visuales, investigación artística y proyectos interdisciplinarios. El artista seleccionado deberá abonar un cuota mensual. Las residencias se proponen en bloques indivisibles de 3 meses.",https://www.bmurals.com/convocatorias,Residencia,"Visuales, Arte Urbano, Investigación, Interdisciplanario",Visuales,Sin cargo,,EUR,,,
Convocatoria | SANFIC 21 Santiago International Film Festival,Convocatoria | SANFIC 21 Santiago International Film Festival,Chile,"Storyboard Media, Ministerio de las Culturas, las Artes y Fundación Corpartes","Inscripciones abiertas para largometrajes de ficción y documentales, nacionales e internacionales, y  para cortometrajes únicamente chilenos. Todas las producciones deben haber sido terminadas después del 1 de Febrero de 2024. La inscripción no tiene costo para las producciones nacionales. Para las producciones internacionales la inscripción tendrá un costo de USD 30.",http://www.sanfic.com,Convocatoria,"Cine, Largometrajes, Ficción, Documental, Cortometrajes",Cine,Sin cargo,,CLP,,,0.0
Residencia | Beca de Residencia Fondazione Pistoletto,Residencia | Beca de Residencia Fondazione Pistoletto,Argentina,UNIDEE y BIENALSUR,"Dirigido a artistas argentinos emergentes menores de 35 años interesados en arte y transformación social. No requiere pago para postular. Disciplinas: arte socialmente comprometido, práctica social, curaduría y organización comunitaria. No está abierto a artistas de otros países de Latinoamérica.",https://bienalsur.org/es/today/165,Residencia,Multidisciplinar,Otras,Sin cargo,1150,EUR,1356.03,,
Beca | Becas de la Processing Foundation,Beca | Becas de la Processing Foundation,EEUU,Processing Foundation,"Dirigido a personas y colectivos que trabajan con codificación creativa, ficción interactiva, medios basados en el tiempo y presentaciones en vivo a proponer proyectos artísticos o técnicos que exploren enfoques innovadores para contar historias a través de datos. Tema: Data Storytelling. Se ofrecen dos becas de Processing Foundation completamente remotas y una beca de Extended Realities en persona en Los Ángeles, California. Los becarios recibirán apoyo a través de un estipendio de $10,000, tutoría, talleres, programas públicos y oportunidades de participación comunitaria.",https://processingfoundation.org/fellowships,Beca,"Multidisciplinar, Tecnología, Data Storytelling, Nuevos medios, Realidad aumentada, ",Otras,Sin cargo,10000.0,USD,10000.0,10000.0,2500.0
Residencia | Premio de Residencia de Fundación Casa Wabix ArtReview 2025-26,Residencia | Premio de Residencia de Fundación Casa Wabix ArtReview 2025-26,México,Fundación Casa Wabi y ArtReview,"Convocatoria abierta a artistas de todas las nacionalidades, edades y disciplinas, permitiendo también postulaciones en colaboración. La residencia se llevará a cabo en 2026. Cada residente debe realizar un proyecto comunitario. Se otorgará a los seleccionados vuelo local: Ciudad de México - Puerto Escondido. alojamiento, y apoyo logístico y operativo para la realización del proyecto comunitario aprobado.",https://casawabi.org/events/fundacion-casa-wabi-x-artreview-open-call-residency-prize-2025-26/,Residencia,Multidisciplinar,Otras,Sin cargo,Residencia,MXN,,,
Premio | Premio Fundación Fortabat 2025,Premio | Premio Fundación Fortabat 2025,Argentina,Fundación Amalia Lacroze de Fortabat,"Dirigido a artistas visuales mayores de 18 años con al menos dos años de residencia en Argentina. Dos categorías: Artistas mayores de 35 años, y Artistas jóvenes de 18 a 34 años. Considerada al 1 de enero de 2025. Se aceptarán obras de todas las disciplinas de las artes visuales contemporáneas. La fecha de realización de la obra no podrá ser anterior a 2023.",https://coleccionamalita.org.ar/agenda/premio-fundacion-amalia-lacroze-de-fortabat-2025-04-08,Premio,Visuales,Visuales,Sin cargo,120000.00,ARS,9962.68,,
Convocatoria | Festival Internacional de Cine Fantástico de Castilla y León Terroríficamente Cortos,Convocatoria | Festival Internacional de Cine Fantástico de Castilla y León Terroríficamente Cortos,España,Terroríficamente Cortos Festival Internacional de Cine Fantástico de Castilla y León,"Dirigido a creadores de cualquier nacionalidad, profesionales o amateurs, que presenten cortometrajes de terror, fantástico, thriller o suspense. Requiere pago de inscripción a través de plataformas como Festhome o FilmFreeway. La convocatoria está abierta a artistas de Latinoamérica.",https://terrorificamentecortos.com,Convocatoria,"Cine, Cortometraje, Terror",Cine,Pago,,EUR,,,
Convocatoria | Ideatoon 2025,Convocatoria | Ideatoon 2025,México,Pixelatl,"Dirigida a creadores, equipos o estudios de animación de cualquier país de Latinoamérica. Requiere pago de inscripción por proyecto. Disciplinas: series y largometrajes animados para TV o plataformas digitales. Ideatoon es una estrategia para que proyectos de series y películas animadas de Latinoamérica reciban mentoría internacional y se reúnan con ejecutivos de las principales networks para construir vínculos de colaboración y favorecer su producción.",https://www.convocatoriaspixelatl.com,Convocatoria,"Cine, Animación",Cine,Pago,,MXN,,,
Convocatoria | Foro de Coproducción de Documentales Lau Haizetara de San Sebastián 2025,Convocatoria | Foro de Coproducción de Documentales Lau Haizetara de San Sebastián 2025,España,EPE-IBAIA  Foro Lau Haizetara de San Sebastián,"Dirigido a productores y profesionales del sector audiovisual con proyectos documentales. La inscripción es gratuita, pero los proyectos seleccionados abonarán la cantidad de 250 euros (+IVA) ó 150 euros (+IVA) en caso de pertenecer a la asociación EPE-IBAIA, para participar en el foro. Disciplina: documental audiovisual. Abierto a participantes internacionales, incluyendo artistas de Latinoamérica.",https://www.epe-ibaia.eus/foro-lauhaizetara/inicio/,Convocatoria,"Cine, Documental",Cine,Pago,250.0,EUR,270.0,5400.0,
Convocatoria |  X edición Festival La Escritura de las Diferencias 2025-2026,Convocatoria |  X edición Festival La Escritura de las Diferencias 2025-2026,Múltiples Países,Red Internacional de Mujeres del Ámbito Teatral,"Dirigido a dramaturgas profesionales de Argentina, Brasil, Centroamérica, Chile, Cuba, Ecuador, España, Italia, Perú, República Dominicana y Uruguay. No requiere pago para participar. Disciplina: teatro (dramaturgia). Abierto a artistas de Latinoamérica.",https://www.laescrituradeladiferencia.org,Convocatoria,"Escénicas, Dramaturgía",Escénicas,Sin cargo,,USD,,,
Premio | Certamen Internacional de Guitarra de Barcelona Miquel Llobet - Interpretación,Premio | Certamen Internacional de Guitarra de Barcelona Miquel Llobet - Interpretación,España,Iberamerik Concert Associació,Dirigido a guitarristas de cualquier nacionalidad. Requiere pago de inscripción (60 euros). Disciplina: interpretación de guitarra clásica. Abierto a participantes de Latinoamérica.,https://mllobet.com/en/certamenllobet/i2025/,Premio,"Música, Guitarra, Clásica",Música,Pago,1000,EUR,1178.63,,
Premio | Seoul Design Award 2025,Premio | Seoul Design Award 2025,Corea del Sur,Seoul Design Award,"Dirigido a diseñadores individuales, colectivos y empresas de todo el mundo, incluyendo Latinoamérica; no requiere pago para participar. Disciplinas: diseño de producto, visual, digital/multimedia, espacial, sistemas, servicios y social, enfocados en soluciones sostenibles para la vida cotidiana.",http://seouldesignaward.or.kr,Premio,Diseño,Diseño,Sin cargo,,,"6,771,000.00",,
Convocatoria | Fotofestival Lenzburg 2026: Forever Happy,Convocatoria | Fotofestival Lenzburg 2026: Forever Happy,Suiza,Fotofestival Lenzburg,"Dirigido a fotógrafos y artistas visuales de todo el mundo, incluyendo latinoamericanos, mayores de 18 años. Requiere pago para participar: Categoría Proyectos: 23 EUR por proyecto; Imágenes individuales: 15 EUR por envío. Disciplina: fotografía. Tema Siempre Feliz.",https://www.fotofestivallenzburg.ch/en/open-call-2025/,Convocatoria,"Visuales, Fotografía",Visuales,Pago,23.0,EUR,1892.74,,
"Convocatoria | Festival Eufémia: Género, Memoria y Resistencia en Escena","Convocatoria | Festival Eufémia: Género, Memoria y Resistencia en Escena",Portugal,Grupo Eufémias,"Se convoca a artistas profesionales mayores de 18 años para participar en un festival que se llevará a cabo del 29 de octubre al 9 de noviembre de 2025. Se buscan propuestas de trabajos unipersonales de entre 40 y 90 minutos que no hayan sido presentados en Portugal en los últimos cinco años. La convocatoria está abierta a artistas residentes o nacidos en Bolivia, Colombia, Chile, Costa Rica, Cuba, Ecuador, Honduras, El Salvador, España, Guatemala, México, Panamá, Paraguay, Perú, Uruguay. ",https://www.eufemias.pt/convocatoria-aberta-iberescena,Convocatoria,"Escénicas, Unipersonales",Escénicas,Sin cargo,1000,EUR,1179.30,,108.0
Convocatoria | Festival de Microteatro El Enguerino,Convocatoria | Festival de Microteatro El Enguerino,España,Festival de Microteatro El Enguerino - Ayuntamiento de Enguera,"Dirigido a compañías, grupos y personas del ámbito teatral de todo
el territorio español. Disciplina: artes escénicas (microteatro).  Las piezas no deberán superar los 20 minutos. Los espectáculos deben haber sido concebidos como formato breve y un máximo de 3 personajes. Se aceptan monólogos.",https://www.enguera.es/es/noticia/bases-microteatro-enguerino-2023-iii-edicion,Convocatoria,"Escénicas, Microteatro",Escénicas,Sin cargo,,EUR,,,
Convocatoria | Festival Internacional de Cine de Ponferrada 2025,Convocatoria | Festival Internacional de Cine de Ponferrada 2025,España,Festival Internacional de Cine de Ponferrada,"Dirigido a creadores de cortometrajes de cualquier país, incluyendo estudiantes de escuelas cinematográficas. No requiere pago para participar. Disciplinas: cortometraje de ficción, documental, animación o experimental. Abierto a artistas de Latinoamérica.",https://ponferradafilmfestival.com,Convocatoria,"Cine, Cortometrajes",Cine,Sin cargo,,EUR,,1080.0,
"Convocatoria | MATCH: Programa de aprendizaje, residencias y exposiciones para artistas del Mediterráneo","Convocatoria | MATCH: Programa de aprendizaje, residencias y exposiciones para artistas del Mediterráneo",Múltiples Países,MATCH (Mediterranean as the Climate Hotspot) ,"Convocatoria dirigida exclusivamente a artistas residentes en Croacia, Chipre, Francia, Grecia, Italia, Malta, Portugal, Eslovenia, España o Túnez. Disciplinas: Artistas visuales y de performance en vivo. MATCH es un proyecto artístico transnacional que conecta a artistas con jardines comunitarios como respuesta a la crisis climática en cinco ciudades mediterráneas: Atenas, Nicosia, Marsella, Barcelona e Izmir.",https://matchproject.eu/open-call/,Convocatoria,"Visuales, Performance, Instalación, Interdisciplinario",Escénicas,Sin cargo,,USD,,,
Residencia | Earthrise 25 Residency for Young Designers,Residencia | Earthrise 25 Residency for Young Designers,Italia,Circolo Del Design,"Dirigida a diseñadores menores de 35 años con ideas innovadoras y socialmente relevante. Disciplina: diseño (puede incluir objetos, instalaciones, productos editoriales u otras expresiones creativas). Abierta a diseñadores de cualquier nacionalidad, incluyendo artistas de Latinoamérica. Earthrise 25 convoca a diseñadores a investigar la relación entre diseño y democracia.",https://circolodeldesign.it/progetto/earthrise-design-for-a-living-planet/earthrise-25-residenza/,Residencia,"Diseño, Visuales",Diseño,Sin cargo,,EUR,,,
Convocatoria | Exhibición Online Serenity,Convocatoria | Exhibición Online Serenity,EEUU,Art Fluent,"Dirigida a artistas de todo el mundo, tanto aficionados como profesionales, para presentar obras de arte que encarnen el tema de ""Serenidad"" para una exposición en línea. Los artistas pueden presentar hasta 20 obras, con una tarifa de 25 dólares por la primera obra y 10 dólares por cada obra adicional. ",https://art-fluent.com/calls-for-art/serenity-prospectus/,Convocatoria,Visuales,Visuales,Pago,,USD,750.00,,25.0
Convocatoria | The Evolution Grant 2025,Convocatoria | The Evolution Grant 2025,EEUU,Art Fluent,"Dirigida a artistas visuales de todo el mundo que trabajen en cualquier técnica de bellas artes, excepto aquellas generadas por inteligencia artificial. Los interesados pueden enviar entre 5 y 20 piezas de su trabajo, una declaración del artista y una biografía. La beca ""Evolution"" otorga $1,000 a un artista visual, y la inscripción tiene un costo de $35.",https://art-fluent.com/calls-for-art/evolution-grant-prospectus/,Convocatoria,Visuales,Visuales,Pago,1000.0,USD,1000.0,1000.0,35.0
Convocatoria | Exposición Colectiva Del Piso al Techo: Premio Alejandro Vautier,Convocatoria | Exposición Colectiva Del Piso al Techo: Premio Alejandro Vautier,Argentina,Galería Cecilia Caballero,"Dirigido a artistas visuales mayores de 18 años, de cualquier nacionalidad, con residencia en Argentina a presentar obras bidimensionales de pared (dibujo, pintura, fotografía o collage) para ser parte de la muestra colectiva Del Piso al Techo, que se realizará entre mayo y junio de 2025. Premio adquisición: 500 USD. Las obras seleccionadas serán exhibidas junto a artistas de la galería.",https://www.instagram.com/galeriaceciliacaballero/,Convocatoria,"Visuales, Dibujo, Pintura, Fotografía, Collage, Grabado",Visuales,Sin cargo,,ARS,,,
Convocatoria | Exposición Colectiva Open Art Tokyo 2025,Convocatoria | Exposición Colectiva Open Art Tokyo 2025,Reino Unido,The Holy Art Gallery,"Dirigida a artistas de todo el mundo, tanto emergentes como establecidos, a participar con obras de cualquier disciplina artística, incluyendo pintura, fotografía, videoarte, escultura, técnicas mixtas y poesía. El tema es libre. La exposición se llevará a cabo del 13 al 15 de septiembre de 2025 en Tokio. La inscripción es gratuita, pero si la obra es seleccionada se aplica una tarifa de exposición.",https://www.theholyart.com/tokyo-open-art,Convocatoria,Visuales,Visuales,Pago,,GBP,,,
Convocatoria | Exposición Colectiva Open Art New York 2025,Convocatoria | Exposición Colectiva Open Art New York 2025,Reino Unido,The Holy Art Gallery,"Dirigida a artistas de todo el mundo, tanto emergentes como establecidos, a participar con obras de cualquier disciplina artística, incluyendo pintura, fotografía, videoarte, escultura, técnicas mixtas y poesía. El tema es libre. La exposición se llevará a cabo del 7 al 10 de noviembre de 2025 en Nueva York. La inscripción es gratuita, pero si la obra es seleccionada se aplica una tarifa de exposición.",https://www.theholyart.com/openart-newyork,Convocatoria,Visuales,Visuales,Pago,,GBP,,,
Convocatoria | Exposición Internacional Form 2025,Convocatoria | Exposición Internacional Form 2025,Corea del Sur,Museo CICA - Instituto Czong de Arte Contemporáneo,"Dirigida a artistas de todo el mundo a participar en la Exposición Internacional «Forma 2025». La exposición abarca temas de formas, figuras y medios. Disciplinas: fotografía, el arte digital 2D, el videoarte, el arte interactivo, la pintura, la escultura y la instalación artística. Fechas de la exposición: del 3 al 28 de diciembre de 2025.",https://cicamuseum.com/call-for-artists-form/,Convocatoria,"Visuales, Fotografía, Arte digital, Videoarte",Cine,Sin cargo,,,,,
Convocatoria | Atlàntida Mallorca Film Fest,Convocatoria | Atlàntida Mallorca Film Fest,España,DEEJAYSGRUP MEDITERRANEAN CREATIVE HUB Unión Temporal de Empresas - Comunidad Filmin SL,"Dirigido a cineastas de todo el mundo. La 15ª edición de Atlàntida Mallorca Film Fest, tendrá lugar entre el 27 de julio y el 3 de agosto de 2025 en Mallorca, del 27 de julio al 27 de agosto de 2025 en FILMIN. Disciplina: cine (largometrajes y cortometrajes). Se admiten películas de ficción o de no-ficción, indistintamente. Los largometrajes deberán tener una duración mínima de 60 minutos. Se admitirán títulos producidos en 2024 o 2025 y deberán ser inéditas en Baleares.

",https://atlantidafilmfest.com,Convocatoria,"Cine, Largometrajes, Ficción, Documentales",Cine,Sin cargo,,EUR,,10800.0,0.0
Convocatoria | 25th Seoul International ALT Cinema & Media Festival (NeMAF 2025),Convocatoria | 25th Seoul International ALT Cinema & Media Festival (NeMAF 2025),Corea del Sur,NeMAF Seoul International ALT Cinema & Media Festival,"Dirigido a artistas y cineastas internacionales interesados en cine, videoarte y artes mediáticas. Requiere pago para participar. Disciplinas: cine experimental, videoarte y nuevas tecnologías. Abierto a artistas de cualquier país, incluyendo Latinoamérica.",https://www.nemaf.co.kr/bbs/sub6_1/345501,Convocatoria,"Cine, Visuales, Otras, Videoarte, Audiovisual, Experimental, Artes Multimedia",Música,Pago,,,,3500.0,0.16
Convocatoria |  19º Festival Internacional de Cine de Sax (FICS),Convocatoria |  19º Festival Internacional de Cine de Sax (FICS),España,Festival Internacional de Cine de Sax,"Dirigido a cineastas de todo el mundo, incluyendo Latinoamérica; requiere pago de inscripción. Disciplinas: cortometrajes y largometrajes de ficción, documental, animación y experimental.",https://festhome.com/festival/2769,Convocatoria,"Cine, Cortometraje, Largometraje",Cine,Sin cargo,,EUR,,3240.0,10.789.200.000.000.000
Convocatoria | MicroFeria de Arte de Rosario 2025,Convocatoria | MicroFeria de Arte de Rosario 2025,Argentina,Secretaría de Cultura y Educación de la Municipalidad de Rosario,"Dirigida a espacios y galerías de arte de todo el país que cuenten con sede física para exposición y venta de arte, y que realicen al menos tres exposiciones por año. Los proyectos deben abordar el eje curatorial “IDIOSINCRASIA” y presentarse como una colaboración entre la galería anfitriona y la invitada. Cada propuesta debe incluir al menos un/a artista de cada galería (y hasta cuatro artistas en total).",https://www.rosario.gob.ar/inicio/convocatoria-para-microferia-de-arte-de-rosario,Convocatoria,"Visuales, Galerías, Espacios, Arte Contemporáneo, Otras",Visuales,Sin cargo,,ARS,,,
Residencia | Residencias para proyectos sobre el medioambiente,Residencia | Residencias para proyectos sobre el medioambiente,España,Centro Cultural Matadero Madrid,"Dirigido a creadores de artes visuales individuales o colectivos, que
trabajen sobre cuestiones relacionadas con el medioambiente, y que tengan su residencia o ámbito principal de acción en la Comunidad de Madrid y/o en España, y de cuya documentación o trayectoria se acredite tal circunstancia. Se seleccionarán un total de 8 proyectos. Las residencias tendrán una duración de 3 meses, entre el 15 de septiembre y el 15 diciembre de 2025.",https://www.mataderomadrid.org/convocatorias?f%5B0%5D=status_announcement%3Aactive,Residencia,"Visuales, Medioambiente",Visuales,Sin cargo,,EUR,,,
Premio | Premio Paidós 2026 Ensayos sobre Humanidades y Ciencias Sociales,Premio | Premio Paidós 2026 Ensayos sobre Humanidades y Ciencias Sociales,España,Ediciones Paidós - Grupo Planeta,"Dirigido a autores y autoras de ensayos originales e inéditos en español sobre humanidades y ciencias sociales. Disciplinas: literatura, filosofía, historia, feminismo, psicología, entre otras ramas de humanidades y ciencias sociales. Abierto a participantes de Latinoamérica. La dotación del Premio Paidós será de 35.000 € y la obra ganadora se publicará en todos los territorios de habla hispana en los que Paidós es un sello de referencia. ",https://premios.planetadelibros.com/es-ES/candidatura/?id=paidos25,Premio,"Literatura, Otros, Ensayo, Investigación",Literatura,Sin cargo,35000.0,EUR,37800.0,37800.0,
Premio | XXIX Premio Alfaguara de Novela 2026,Premio | XXIX Premio Alfaguara de Novela 2026,España,Alfaguara - Penguin Random House Grupo Editorial,Dirigido a escritores mayores de edad de cualquier nacionalidad con novelas inéditas en español. Disciplina: literatura (novela). Abierto a autores de Latinoamérica. Se otorgará un único premio de 175.000 dólares al ganador. La obra ganadora se publicará por Penguin Random House en el sello Alfaguara.,https://premioalfaguara.com/bases,Premio,"Literatura, Novela",Literatura,Sin cargo,175000.0,EUR,189000.0,,
Foro de Coproducción Europa-América Latina del Festival de San Sebastián,Convocatoria | Foro de Coproducción Europa-América Latina del Festival de San Sebastián,España,Festival de San Sebastián,Dirigido a productoras y cineastas de Europa y Latinoamérica con proyectos cinematográficos de al menos 60 minutos y 20% de financiación asegurada. No requiere pago para participar. Disciplina: cine (proyectos audiovisuales). Abierto a artistas de Latinoamérica.,https://www.sansebastianfestival.com/2025/industria/foro_de_coproduccion/1/22403/es,Convocatoria,Cine,Cine,Sin cargo,,EUR,,,
Convocatoria | Festival Biarritz Amérique Latine 2025,Convocatoria | Festival Biarritz Amérique Latine 2025,Francia,Festival Biarritz Amérique Latine ,"Dirigido a directores latinoamericanos o residentes en América Latina. Disciplinas: cine y audiovisual (largometrajes, cortometrajes, documentales). Abierto exclusivamente a artistas latinoamericanos.",https://www.festivaldebiarritz.com/es/actualites/appel-a-films-2025/,Convocatoria,Cine,Cine,Pago,,EUR,,,
Premio | Premio de Teatro para Autores Noveles “Calderón de la Barca”,Premio | Premio de Teatro para Autores Noveles “Calderón de la Barca”,España,Instituto Nacional de las Artes Escénicas y de la Música (INAEM) ,Dirigido a autores noveles de teatro que sean españoles o nacionales de otros Estados de la Unión Europea y del Espacio Económico Europeo. No requiere pago para participar. Disciplina: dramaturgia/teatro. No está abierto a artistas de Latinoamérica fuera de estas regiones.,https://www.cultura.gob.es/eu/dam/jcr:63496eb4-8da4-4d2c-a0a0-8cd9467d46eb/memoria-anual-2020.pdf,Premio,"Escénicas, Literatura, Dramaturgia,",Escénicas,Sin cargo,,EUR,,,
Convocatoria | Festival Internacional de Teatro Infantil Igor Madzirov,Convocatoria | Festival Internacional de Teatro Infantil Igor Madzirov,Macedonia del Norte,"National Institution Theater for Children and Youth, Skopje","Dirigido a producciones teatrales profesionales para niños y jóvenes. No requiere pago para postular. Disciplinas: teatro infantil, incluyendo formas pequeñas como teatro de títeres, sombras, danza, teatro físico y musical. Abierto a artistas de cualquier país, incluyendo Latinoamérica.",https://puppet.com.mk/en/festival/konkurs,Convocatoria,"Escénicas, Teatro Infantil, Títeres, Sombras",Escénicas,Sin cargo,,,,,
Residencia para escritores españoles en la Cité des Arts 2026,Residencia | Residencia para escritores españoles en la Cité des Arts 2026,España,"Acción Cultural Española (AC/E), la Embajada de Francia en España y la Mairie de París",Dirigido a escritores españoles. No requiere pago para participar. Disciplina: literatura. No está abierto a artistas de Latinoamérica.,https://www.accioncultural.es/es/residencia-de-escritores-en-la-cite-des-arts-2026,Residencia,Literatura,Literatura,Sin cargo,3000.00,EUR,3535.42,,
Residencia | Residencia de creación para un/a autor/a de cómic español/a en Francia,Residencia | Residencia de creación para un/a autor/a de cómic español/a en Francia,España,Acción Cultural Española (AC/E) y la Cité internationale de la bande dessinée et de l'image (Angoulême),Dirigido exclusivamente a autores/as españoles/as de cómic. No requiere pago para participar. Disciplina: historieta gráfica. No está abierto a artistas de Latinoamérica.,https://www.accioncultural.es/media/2026/Angouleme/ConvocatoriaAngouleme2026.pdf,Residencia,"Visuales, Comic, Dibujo, ",Visuales,Sin cargo,3000.00,EUR,3535.42,,
Convocatoria | 1ª edición del Certamen Literario “VIENTO” 2025,Convocatoria | 1ª edición del Certamen Literario “VIENTO” 2025,España,Centro para las Artes Traductores del viento,"Dirigido a cualquier persona mayor de edad, de cualquier nacionalidad. No requiere pago para participar. Disciplina: literatura (certamen literario). Abierto a participantes de Latinoamérica.",https://www.recursosculturales.com/certamen-literario-viento/,Convocatoria,"Literatura, Relato, Poesía, Ilustración",Visuales,Sin cargo,,EUR,,,
Premio | XIX Premio Málaga de Novela 2025,Premio | XIX Premio Málaga de Novela 2025,España,Ayuntamiento de Málaga,"Dirigido a escritores mayores de 18 años de cualquier nacionalidad, incluyendo latinoamericanos, que presenten una novela original e inédita escrita en castellano. No requiere pago para participar. Disciplina artística: literatura (novela).",https://cultura.malaga.eu/es/actividades-culturales/actividades-literarias/premio-malaga-de-novela/index.html,Premio,"Literatura, Novela",Literatura,Sin cargo,25000.00,EUR,29461.85,,
Convocatoria | Festival Internacional de Cine con Medios Alternativos (FICMA),Convocatoria | Festival Internacional de Cine con Medios Alternativos (FICMA),México,FICMA,"Dirigido a creadores de cine y proyectos audiovisuales que utilicen nuevas narrativas digitales y tecnologías como smartphones, drones o realidad virtual; no requiere pago de inscripción. Disciplinas: cine y artes audiovisuales con tecnologías innovadoras. Abierto a participantes de Latinoamérica.",https://ficmafest.org,Convocatoria,"Cine, Audiovisual, Nuevas Tecnologías, Animación Digital,
Realidad Virtual, AI, ",Música,Pago,,MXN,,,9.0
Convocatoria | Festival Internacional Films of the Future ,Convocatoria | Festival Internacional Films of the Future ,Múltiples Países,Films of the Future,"Dirigida a cineastas de todo el mundo. Se reciben todo tipo de narrativas y estilos cinematográficos. Sin embargo, se alienta a envios de películas que aborden temáticas como problemáticas medioambientales, diversidad cultural, paridad de género y el uso de nuevos medios como la realidad virtual, inteligencia artificial y cine expandido. Las películas seleccionadas serán exhibidas en prestigiosas salas de cine en Santiago de Chile, Nueva York y Toronto, ofreciendo una plataforma global para las voces del futuro. Primera edición: 5 al 14 de junio - Santiago, Chile.",https://filmsofthefuture.org/convocatoria/,Convocatoria,"Cine, Ficción, Documental, Animación, Nuevos medios, Instalación inmersiva",Cine,Sin cargo,,USD,,,
Convocatoria | Festival de Cine Iberoamericano de Huelva 2025,Convocatoria | Festival de Cine Iberoamericano de Huelva 2025,España,Festival de Huelva de Cine Iberoamericano,"Dirigido a cineastas de Iberoamérica, incluyendo Latinoamérica, que presenten largometrajes o cortometrajes de ficción, animación o documental. La inscripción es gratuita. Disciplinas: cine y audiovisual.",https://festicinehuelva.com,Convocatoria,"Cine, Largometrajes, Cortometrajes, Ficción, Animación, Documental",Cine,Sin cargo,,EUR,,,
Beca | Eliza Moore Fellowship for Artistic Excellence Residency 2026,Beca | Eliza Moore Fellowship for Artistic Excellence Residency 2026,EEUU,Oak Spring Garden Foundation,"Dirigido a artistas emergentes (artes visuales, literatura, danza y música) que desarrollen obras sobre plantas, jardines o paisajes; no requiere pago para postularse. Disciplinas: artes visuales, literatura, danza y música. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",https://www.osgf.org/fellowships/eliza-moore-artistic-excellence,Beca,"Visuales, Música, Literatura, Escénicas",Música,Sin cargo,10000.00,USD,10000.00,,
Beca | Ronald Duncan Stipend for Southwest Writing,Beca | Ronald Duncan Stipend for Southwest Writing,Reino Unido,University of Exeter,Dirigida a escritores de cualquier etapa de su carrera con conexión a una Ciudad de la Literatura UNESCO. No requiere pago para postular. Disciplina: escritura/literatura. Abierta a escritores de América Latina si su ciudad forma parte de la Red de Ciudades de la Literatura UNESCO.,https://libguides.exeter.ac.uk/archives/Duncan_Stipends,Beca,Literatura,Literatura,Sin cargo,2500,GBP,3432.21,,
Convocatoria | Pintura internacional Plein Air 'Valdis Bušs 2025',Convocatoria | Pintura internacional Plein Air 'Valdis Bušs 2025',Letonia,"Municipio de Balvi, en cooperación con el Museo Rothko","Dirigido a artistas profesionales de pintura de cualquier nacionalidad. El Valdis Bušs 2025 International Painting Plein Air es un encuentro internacional de pintura al aire libre, que invita a crear obras en residencia inspiradas en el paisaje. Se realiza en Viļaka, Letonia, del 21 al 31 de julio de 2025.",https://rothkomuseum.com/en/museum/catalogues/symposia/valdis-buss-2025/,Convocatoria,"Visuales, Pintura, Paisajismo",Visuales,Sin cargo,3000,EUR,4118.65,,
Premio | Premio Trieste Contemporánea para Jóvenes Artistas Europeos (YEATCA),Premio | Premio Trieste Contemporánea para Jóvenes Artistas Europeos (YEATCA),Italia,Trieste Contemporánea,"Abierto a artistas menores de 30 años que nacieron en uno de los siguientes países: Albania, Austria, Bielorrusia, Bosnia y Herzegovina, Bulgaria, Croacia, República Checa, Estonia, Alemania, Hungría, Italia, Kosovo, Letonia, Lituania, Moldavia, Montenegro, Macedonia del Norte, Polonia, Rumania, Serbia, Eslovaquia, Eslovenia y Ucrania. El ganador será invitado a planificar una exposición individual en Trieste (Italia), que se inaugurará en Studio Tommaseo en diciembre de 2025.",https://www.triestecontemporanea.it/en/bando/yeatca_25/,Premio,Visuales,Visuales,Sin cargo,,EUR,,,
